x,y,z
-4.219808578491211,-0.008872787468135357,-0.9272181987762451
-4.238190174102783,-0.017106514424085617,-0.8500000238418579
-4.150000095367432,-0.02450750209391117,-0.9434521794319153
-4.150000095367432,-0.05660967156291008,-0.8500000238418579
-4.000755786895752,-0.10033853352069855,-1.0003236532211304
-4.009611129760742,-0.10430513322353363,-0.949999988079071
-4.026566028594971,-0.11184989660978317,-0.8500000238418579
-4.000755786895752,-0.09529504179954529,-1.0003236532211304
-4.039740562438965,-0.05954945832490921,-0.9644214510917664
-4.076566219329834,-0.08950315415859222,-0.8500000238418579
-4.510794639587402,-0.004449119325727224,-0.032466642558574677
-4.409585475921631,-0.004127346444875002,-0.32841256260871887
-4.42316198348999,-0.00997402798384428,-0.25
-4.440762996673584,-0.01755436882376671,-0.15000000596046448
-4.459832191467285,-0.022091394290328026,-0.059479985386133194
-4.309081554412842,-0.004039491061121225,-0.7267813682556152
-4.319664478302002,-0.008527759462594986,-0.6500000357627869
-4.331157684326172,-0.01332779973745346,-0.550000011920929
-4.3420586585998535,-0.018006492406129837,-0.45000001788139343
-4.35900354385376,-0.021702833473682404,-0.35704752802848816
-4.349999904632568,-0.0414748452603817,-0.25
-4.349999904632568,-0.05664094164967537,-0.15000000596046448
-4.349999904632568,-0.06958562135696411,-0.05000000074505806
-4.210560321807861,-0.10454762727022171,-0.22994619607925415
-4.224405765533447,-0.11021018773317337,-0.15000000596046448
-4.238724231719971,-0.11593044549226761,-0.05000000074505806
-4.2586669921875,-0.02187364175915718,-0.7560688257217407
-4.25,-0.03858029469847679,-0.6500000357627869
-4.25,-0.048043373972177505,-0.550000011920929
-4.25,-0.057454220950603485,-0.45000001788139343
-4.25,-0.06957176327705383,-0.3499999940395355
-4.246335983276367,-0.08489228785037994,-0.2579677104949951
-4.274405479431152,-0.08908656984567642,-0.15000000596046448
-4.288724422454834,-0.09530822187662125,-0.05000000074505806
-4.1058783531188965,-0.10251455754041672,-0.6269626021385193
-4.1142683029174805,-0.10610334575176239,-0.550000011920929
-4.125384330749512,-0.1108933538198471,-0.45000001788139343
-4.139629364013672,-0.11705620586872101,-0.3499999940395355
-4.159283638000488,-0.12237425893545151,-0.2579677104949951
-4.150000095367432,-0.1414511799812317,-0.15000000596046448
-4.150000095367432,-0.15239031612873077,-0.05000000074505806
-4.150000095367432,-0.07051707059144974,-0.75
-4.143527030944824,-0.08368554711341858,-0.6561775803565979
-4.164268493652344,-0.0847155749797821,-0.550000011920929
-4.175384521484375,-0.08944772928953171,-0.45000001788139343
-4.189629077911377,-0.09553872793912888,-0.3499999940395355
-4.198805809020996,-0.09948606044054031,-0.29661285877227783
-4.007562637329102,-0.20310519635677338,-0.1325460523366928
-4.017022609710693,-0.20698930323123932,-0.05000000074505806
-4.04148006439209,-0.11804694682359695,-0.75
-4.05916690826416,-0.11977119743824005,-0.6561775803565979
-4.050000190734863,-0.13359446823596954,-0.550000011920929
-4.050000190734863,-0.14324221014976501,-0.45000001788139343
-4.050000190734863,-0.1556396335363388,-0.3499999940395355
-4.050000190734863,-0.17064592242240906,-0.25
-4.044537544250488,-0.18494713306427002,-0.15952762961387634
-4.067022800445557,-0.18645986914634705,-0.05000000074505806
-4.091480255126953,-0.09620463848114014,-0.75
-4.098610877990723,-0.09940586239099503,-0.693629264831543
-3.950000047683716,-0.10302731394767761,-1.0017815828323364
-3.950000047683716,-0.12232809513807297,-0.949999988079071
-3.950000047683716,-0.14571009576320648,-0.8500000238418579
-3.950000047683716,-0.08350855857133865,-1.0017815828323364
-3.950000047683716,-0.03350856155157089,-0.9971646070480347
-3.804309844970703,-0.20193049311637878,-0.9127095341682434
-3.813295364379883,-0.2057524025440216,-0.8500000238418579
-3.8500001430511475,-0.11314429342746735,-1.0030550956726074
-3.842586040496826,-0.16271507740020752,-0.9476257562637329
-3.863295555114746,-0.1838601976633072,-0.8500000238418579
-3.8500001430511475,-0.07426552474498749,-1.0030550956726074
-3.8500001430511475,-0.024265523999929428,-0.9971193075180054
-3.722531795501709,-0.2077600508928299,-1.0059486627578735
-3.753519058227539,-0.2158733457326889,-0.9476257562637329
-3.75,-0.23332460224628448,-0.8500000238418579
-3.753519058227539,-0.14829669892787933,-1.0059770345687866
-3.789198637008667,-0.1804945021867752,-0.9793761968612671
-3.75,-0.0746474415063858,-1.0030097961425781
-3.75,-0.024647440761327744,-0.9970739483833313
-3.6021580696105957,-0.30092307925224304,-0.8098978400230408
-3.6500000953674316,-0.21822240948677063,-1.0089002847671509
-3.6500000953674316,-0.2541569769382477,-0.949999988079071
-3.6412947177886963,-0.2807464003562927,-0.8459386825561523
