x,y,z
-1.7000004053115845,-1.0,-4.6977056911146065e-8
-1.7186927795410156,-0.949999988079071,-0.0067366124130785465
-1.7373849153518677,-0.8500000238418579,-0.013473154045641422
-1.649999976158142,-1.0000001192092896,-1.0476961875838242e-7
-1.649999976158142,-0.949999988079071,-0.022483017295598984
-1.649999976158142,-0.8500000238418579,-0.044965825974941254
-1.7373849153518677,-0.75,-0.013473154045641422
-1.7373849153518677,-0.6500000357627869,-0.013473154045641422
-1.7373849153518677,-0.550000011920929,-0.013473154045641422
-1.7373849153518677,-0.45000001788139343,-0.013473154045641422
-1.7373849153518677,-0.3499999940395355,-0.013473154045641422
-1.7373849153518677,-0.25,-0.013473154045641422
-1.7373849153518677,-0.15000000596046448,-0.013473154045641422
-1.7373849153518677,-0.05000000074505806,-0.013473154045641422
-1.649999976158142,-0.75,-0.044965825974941254
-1.649999976158142,-0.6500000357627869,-0.044965825974941254
-1.649999976158142,-0.550000011920929,-0.044965825974941254
-1.649999976158142,-0.45000001788139343,-0.044965825974941254
-1.649999976158142,-0.3499999940395355,-0.044965825974941254
-1.649999976158142,-0.25,-0.044965825974941254
-1.649999976158142,-0.15000000596046448,-0.044965825974941254
-1.649999976158142,-0.05000000074505806,-0.044965825974941254
-1.5500000715255737,-1.0000001192092896,-2.7074381705460837e-6
-1.5500000715255737,-0.949999988079071,-0.04050513356924057
-1.5500000715255737,-0.8500000238418579,-0.08100485801696777
-1.4000035524368286,-1.0,-0.1000000536441803
-1.4400020837783813,-1.0000001192092896,-0.040002111345529556
-1.4243258237838745,-0.949999988079071,-0.10876589268445969
-1.4743258953094482,-0.949999988079071,-0.07475873082876205
-1.4486464262008667,-0.8500000238418579,-0.11753170192241669
-1.4986464977264404,-0.8500000238418579,-0.09951218962669373
-1.350000023841858,-1.0000001192092896,-0.10000012814998627
-1.350000023841858,-1.0000001192092896,-0.05000000074505806
-1.350000023841858,-0.949999988079071,-0.12654158473014832
